Title;Date;Genre;Director;Starring;Watched
The African Queen;1951;Adventure/Romance;John Huston;Humphrey Bogart, Katharine Hepburn;NO
The Treasure of the Sierra Madre;1948;Western/Adventure;John Huston;Humphrey Bogart;NO
Gosford Park;2001;Comedy/Mystery;Robert Altman;Maggie Smith, Tom Hollander;NO
Romeo + Juliet;1996;Drama/Romance;Baz Luhrmann;Leonardo DiCaprio, Claire Danes;NO
Heartbreak Ridge;1986;War;Clint Eastwood;Clint Eastwood;NO
Unforgiven;1992;Western;Clint Eastwood;Gene Hackman, Morgan Freeman;YES
Per un pugno di dollari;1964;Western;Sergio Leone (as Bob Robertson);Clint Eastwood, ;NO
Per qualche dollaro in piu;1965;Western;Sergio Leone;Clint Eastwood, Lee Van Cleef;NO
In the Heat of the Night;1967;Crime/Mystery;Norman Jewison;Warren Oates;NO
Little Big Man;1970;Adventure/Comedy;Arthur Penn;Dustin Hoffman, Faye Dunaway;NO
The Big Short;2015;Biograph/Comedy;Adam McKay;Christian Bale, Ryan Gosling;NO
The Fighter;2010;Biography/Sport;David O. Russell;Christian Bale, Mark Wahlberg;NO
Public Enemies;2009;Biography/Crime;Michael Mann;Christian Bale, Johnny Depp;NO
Charlie Wilson's War;2007;Biography/Comedy;Mike Nichols;Tom Hanks, Julia Roberts;NO
The Last Temptation of Christ;1988;Drama;Martin Scorsese;Willem Dafoe, Harvey Keitel;NO
The Entity;1982;Horror;Sidney J. Furie;Barbara Hershey;NO
The Age of Innocence;1993;Romance;Martin Scorsese;Daniel Day Lewis, Michelle Pfeiffer;NO
This Is What Wining Looks Like;2013;Documentary/War;Ben Anderson;NA;NO
Holidays in the Axis of Evil;2003;Documentary/History;Ben Anderson;NA;NO
America Was Here;2007;Documentary/War;Ben Anderson;NA;NO
Game Night;2018;Action/Comedy;John Francis Daley, Jonathan Goldstein;Jason Bateman, Rachel McAdams;YES
Irma la Douce;1963;Comedy/Romance;Billy Wilder;Jack Lemmon, Shirley MacLaine;NO
Joker;2019;Crime/Thriller;Todd Phillips;Joaquin Phoenix, Robert De Niro;YES
Dog Day Afternoon;1975;Crime/Biography;Sidney Lumet;Al Pacino;NO
Death Wish;1974;Action/Crime;Michael Winner;Charles Bronson;NO
We Were Soldiers;2002;War/History;Randall Wallace;Mel Gibson, Madeleine Stowe;YES
Interiors;1978;Drama;Woody Allen;Diane Keaton, Geraldine Page;NO
Annie Hall;1977;Comedy/Romance;Woody Allen;Woody Allen, Diane Keaton;NO
Hannah and Her Sisters;1986;Comedy;Woody Allen;Michael Caine, Carrie Fisher;NO
Crimes and Misdemeanors;1989;Comedy;Woody Allen;Woody Allen, Joanna Gleason;NO
Manhattan;1979;Comedy/Romance;Woody Allen;Woody Allen, Diane Keaton;NO
The Purple Rose of Cairo;1985;Comedy/Fantasy;Woody Allen;Jeff Daniels;NO
Richard Pryor: Live on the Sunset Strip;1982;Documentary/Comedy;Joe Layton;Richard Pryor;NO
Richard Pryor: Here and Now;1983;Documentary/Comedy;Richard Pryor;Richard Pryor;NO
Eddie Murphy: Delirious;1983;Documentary/Comedy;Bruce Gowers;Eddie Murphy;NO
The Thin Red Line;1998;War;Terrence Malick;Sean Penn, Nick Nolte;NO
Seppuku;1962;History;Masaki Kobayashi;NA;NO
Witness for the Prosecution;1957;Film-Noir;Billy Wilder;NA;NO
Outlaw King;2018;Action/Biography;David Mackenzie;Chris Pine, Stephen Dillane;NO
Shaun of the Dead;2004;Comedy/Horror;Edgar Wright;Simon Pegg, Nick Frost;NO
Nyomphomainac: Vol. I;2013;Drama;Lars von Trier;Stellan Skarsgard, Shia LaBeouf;NO
Nyomphomainac: Vol. II;2013;Drama;Lars von Trier;Stellan Skarsgard, Shia LaBeouf;NO
Searching for Sugar Man;2012;Documentary/Music;Malik Bendjelloul;Rodriguez, Stephen 'Sugar' Segerman;NO
Three Days of The Condor;1975;Mystery/Thriller;Syndey Pollack;Robert Redford, Max von Sydow;NO
All The President's Men;1976;Biography/History;Alan J. Pakula;Robert Redford, Dustin Hoffman;YES
Butch Cassidy and the Sundance Kid;1969;Biography/Crime;George Roy Hill;Paul Newman, Robert Redford;NO
Bridge of Spies;2015;History/Thriller;Steven Spielberg;Tom Hanks, Amy Ryan;NO
Gona Baby Gone;2007;Crime/Mystery;Ben Affleck;Morgan Freeman, Ed Harris;NO
American Made;2017;Biography/Action;Doug Liman;Tom Cruise, Domhnall Gleeson;NO
Marathon Man;1976;Crime/Thriller;John Schlesinger;Dustin Hoffman, Laurence Olivier;NO
The Parallax View;1974;Thriller;Alan J. Pakula;Warren Beatty, William Daniels;NO
The Way We Were;1973;Drama/Romance;Sydney Pollack;Barbra Streisand, Robert Redford;NO
The Conversation;1974;Mystery/Thriller;Francis Ford Coppola;Gene Hackman, Allen Garfield;NO
Brubaker;1980;Crime/Drama;Stuart Rosenberg;Robert Redford, Morgan Freeman;NO
The Day of the Jackal;1973;Crime/Thriller;Fred Zinnermann;NA;NO
The Odessa File;1974;Thriller;Ronald Neame;Jon Voight, Derek Jacobi;NO
Sneakers;1992;Comedy/Crime;Phil Alden Robinson;Robert Redford, Dan Aykroyd;NO
The old Man & the Gun;2018;Biography/Crime;David Lowery;Robert Redford, Casey Affleck;NO
Rachel Getting Married;2008;Drama/Romance;Jonathan Demme;Anne Hathaway, Rosemarie DeWitt;NO
The Sting;1973;Comedy/Crime;George Roy Hill;Robert Redford, Paul Newman;NO
Network;1976;Drama;Sidney Lumet;Faye Dunaway, Robert Duvall;NO
Kramer vs. Kramer;1979;Drama;Robert Benton;Dustin Hoffman, Meryl Streep;NO
Erin Brockovich;2000;Biography;Steven Soderbergh;Julia Roberts;NO
Hamlet;1990;Drama;Franco Zeffirelli;Mel Gibson, Glenn Close;YES
